Shrines,zeldadungeon_links,Coordinators,youtube_link,walkthrough,Location,Enemies,Items,Materials,Prerequisite,Rewards,Type,Skills,Inhabitants,Related,Depths Counterpart,Coordinates_y,Quests
Orochium Shrine,https://www.zeldadungeon.net/wiki/Orochium_Shrine,"-1636, 2541, 0239",https://www.youtube.com/watch?v=G9rbFMlIZUM,"Orochium Shrine, also known as Courage to Fall, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just north of Snowfield Stable. Courage to Fall Video Walkthrough Gallery Use Ultrahand to open the double doors Defeat the Soldier Construct on the left side Use Ascend to climb up to the higher level Kneel down to squeeze through the small passage Defeat the Soldier Construct and open the chest for five Arrows Open another set of double doors Walk into the laser to open a trapped door below and let it take Link down Avoid the lasers and walk through the room Use Ascend to reach the chest and get the Small Key Ascend to the next floor anduse the small key on the locked door Grab the Orb and carry it up to the green elevator Place the orb in the hole to open the nearby gate Pull out the Glider and attach the orb to it Place it on the rails and ride the glider back to the entrance Place the orb in the whole to open the gate leading to the altar",,,Arrows Small Key,,,Light of Blessing,Shrine of Light,,,,Muihcoro Lightroot,,
Oromuwak Shrine,https://www.zeldadungeon.net/wiki/Oromuwak_Shrine,"-3079, 1618, 0243",https://www.youtube.com/watch?v=UTx0lXB9zhs,"Oromuwak Shrine, also known as A Launching Device, is a Shrine of Light from Tears of the Kingdom. This shrine is found on the higher cliff, just southeast of the Lucky Clover Gazette. Just south of the shrine, there is a tall pillar with a treasure chest on it containing a Zonaite Shield. A Launching Device Video Walkthrough Gallery Place a Rocket on the angled ramp Launch the rocket to hit the target Attach a rocket to the cart that is on the rail Jump in the cart and launch the rocket to ride up the rails Attach a rocket so it is pointing upward Paraglide to the treasure chest to get a Ruby gem Attach a rocket to the cart and place it on the angled ramp Launch the rocket to cross the gap",,,Ruby,,,Light of Blessing,Shrine of Light,,,,Kawumoro Lightroot,,
Oshozan-u Shrine,https://www.zeldadungeon.net/wiki/Oshozan-u_Shrine,"-1405, 3677, 0288",https://www.youtube.com/watch?v=fVZMMM3ntQ4,"Oshozan-u Shrine, also known as Mallet Smash, is a Shrine of Light from Tears of the Kingdom. The Shrine is located north of Snowfield Stable, along the edge of the cliff. Contents Mallet Smash Video Walkthrough Gallery Attach the log to the side of the block Attach the Rocket to the back of the block Activate the Rocket Move the long log and climb up to the Treasure Chest Attach the long log to the gear Attach the Rocket to the construction Activate the Rocket",,,Zonaite Bow,,,Light of Blessing,Shrine of Light,,,,U-nazohso Lightroot,,
Otak Shrine,https://www.zeldadungeon.net/wiki/Otak_Shrine,"-4392, 3714, 0212",https://www.youtube.com/watch?v=iBVg-ksXcq8,"Otak Shrine, also known as Proving Grounds: Traps, is a Shrine of Light from Tears of the Kingdom. Contents Finding the Shrine The Shrine is located in the Hebra Mountains, within the Icefall Foothills Cave. Found at the far northwest of the entire map of Hyrule is the Icefall Foothills. At the west end of the Foothills, there are some ice that blocks an entrance to a cave. Use a flame based weapon to melt the ice. Link can acquire 10 Bomb Flowers in an ice covered chest to the right once he enters the cave, having a Ruby fused weapon can allow for safe acquisition of chest by standing close to the icy chest. You can light the unlit campfire that is in this cave to melt more of the ice. Beware of enemies that spawn. At the back of the cave, Link can bravely jump on or safely melt some ice on the ground that leads to a lower cave. Lurking below are some dangerous Blue Bokoblins and Black Bokoblins. Shooting Bomb Flower-fused arrows from above can allow for safe passage below. Look up to the right on the wall once safely down below, to find the small ice covered opening to the Otak Shrine. After melting the ice, Link will discover the shrine. Proving Grounds: Traps Video Walkthrough Gallery Link can use Arrows to shoot torches The flames can burn the leaves and set Soldier Constructs on fire",Icefall Foothills Cave,,Mighty Construct Bow,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Kato Lightroot,,
Rutafu-um Shrine,https://www.zeldadungeon.net/wiki/Rutafu-um_Shrine,"-2999, 3099, 0514",https://www.youtube.com/watch?v=pUpg-DYeh_I,"Rutafu-um Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Hebra Mountains inside Hebra Mountains Northwest Cave, and requires the completion of The Northwest Hebra Cave Crystal Shrine Quest to access. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for a well-earned Light of Blessing. Gallery",Hebra Mountains Northwest Cave,,Topaz,,,Light of Blessing,Shrine of Light,,,,Mu-ufatur Lightroot,"(-2998, 3102, 0529)",The Northwest Hebra Cave Crystal
Sahirow Shrine,https://www.zeldadungeon.net/wiki/Sahirow_Shrine,"-3355, 2387, 0361",https://www.youtube.com/watch?v=AIi74LFffdo,"Sahirow Shrine, also known as Aid from Above, is a Shrine of Light from Tears of the Kingdom. The Shrine is located east of the Rospro Pass Skyview Tower. Aid From Above Video Walkthrough Gallery Jump over the red laser Kneel underneath the laser Climb up and use the Paraglider to glide over the laser Use Ascend to get up to the higher ledge Use Ultrahand to move the block in front of the laser to open the gate Open the chest to get a Spicy Elixir Leap over the moving red laser Kneel underneath the moving red laser Use ascend just before the lasers to get to the top",,,Spicy Elixir,,,Light of Blessing,Shrine of Light,,,,Worihas Lightroot,,
Sisuran Shrine,https://www.zeldadungeon.net/wiki/Sisuran_Shrine,"-2556, 3354, 0245",https://www.youtube.com/watch?v=w4bm-tLN11k,"Sisuran Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Hebra Mountains. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Sapphire,,,Light of Blessing,Shrine of Light,,,,Narusis Lightroot,,
Tauyosipun Shrine,https://www.zeldadungeon.net/wiki/Tauyosipun_Shrine,"-4539, 2881, 0262",https://www.youtube.com/watch?v=0zZ3yRisWTk,"Tauyosipun Shrine, also known as Forward or Backward?, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Hebra Mountains at the Hebra West Summit. The shrine can be found well northwest of the Rospro Pass Skyview Tower, on the other side of the river and mountain range. Forward or Backward? Video Walkthrough Gallery Use Recall on the ball so Link can run by Use Recall on the wheel and open the chest to get a Strong Construct Bow Step on the switch and use Ultrahand to place the orb up the ramp from the ball Use Recall on the ball and it will push the Orb back up The orb will drop in the hole, opening the nearby gate Use Recall on the orb when it is at the lower ramp Cancel recall when the orb is in between ramps and it will drop right down into the hole Place the orb into the bowl with Ultrahand Use recall on only the orb and release it when it is in the corner of the room",,,Strong Construct Bow,,,Light of Blessing,Shrine of Light,,,,Nupisoyuat Lightroot,,
Wao-os Shrine,https://www.zeldadungeon.net/wiki/Wao-os_Shrine,"-4059, 1991, 0183",https://www.youtube.com/watch?v=WnzrFozlLyA,"Wao-os Shrine, also known as Lever Power, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Hebra Mountains, in West Lake Totori Cave. Contents Lever Power Video Walkthrough Gallery",,,Spicy Elixir,,,Light of Blessing,Shrine of Light,,,,So-oaw Lightroot,,
Ekochiu Shrine,https://www.zeldadungeon.net/wiki/Ekochiu_Shrine,"1059, 1276, 0045",https://www.youtube.com/watch?v=-GIPGcJAPE8,"Ekochiu Shrine, also known as Rise and Fall, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just north of Woodland Stable. Rise and Fall Video Walkthrough Gallery Link reaching the Shrine entrance Step on the switch to move the block Hop onto the block and use Recall Use Recall to move the block to where it came from Move the block onto the switch Use Recall to move the block off the switch Fly over the gap to the end",,,Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,Uihcoke Lightroot,,
En-oma Shrine,https://www.zeldadungeon.net/wiki/En-oma_Shrine,"0101, -2519, -0087",https://www.youtube.com/watch?v=sPewZMThbWk,"En-oma Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Lake Hylia Whirlpool Cave, found in the whirlpool in Lake Hylia. Shrine Quest: The Lake Hylia Crystal Interact with the shrine to start this quest. A beam of light will appear, leading towards the crystal you need to find. Teleport to Popla Foothills Skyview Tower and launch yourself. Glide towards the southwest, to the island above the whirlpool. You will likely need the Rito companion for this along with a lot of stamina or stamina food. Grab the crystal from the pedestal in the temple, then drop it down the hole in the middle of the room. it goes straight to the whirlpool, so you don't need to worry about it getting lost. Follow it down, then bring the crystal over to the shrine to complete the quest. Rauru's Blessing As a reward for your effort completing the shrine quest, you're presented with a blessing shrine. Simply move forward, open the chest for a Mighty Zonaite Sword, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Mighty Zonaite Sword,,,Light of Blessing,Shrine of Light,,,,Amo-ne Lightroot,,The Lake Hylia Crystal
Ishodag Shrine,https://www.zeldadungeon.net/wiki/Ishodag_Shrine,"-0885, 0418, 0048",https://www.youtube.com/watch?v=WqQitMhfeZw,"Ishodag Shrine, also known as A Windy Device, is a Shrine of Light from Tears of the Kingdom. This shrine is found just east of the Carok Bridge. Contents A Windy Device The shrine is solvable without the use of the Paraglider.
To bypass the first wall, one can prop the powered Fan to the wall. This will allow the fan to stay in place. Doing this by the sloped surfaces on the side will allow Link to climb atop the Fan and jump up to the ledge.
The rising platform can be solved by attaching two fans to its bottom. Both fans together have enough strength to carry both the platform and Link upwards. Video Walkthrough Gallery The Ishodag Shrine Activate the Fan Jump and use the Paraglider to glide up to the higher ledge Attach fans to the wooden platform Ride across the water Attach a fan to the backside of the rotating platform Activate the fan to turn the platform horizontal Use Ascend to climb up and open the chest to an Opal Place a Fan in the center of the platform Use Ultrahand to push the platform as high as it goes Get in the platform and activate the fan Use Recall as well as the Paraglider to glide up to the top of the shrine Alternative Strategy: Prop the powered Fan against the wall by the sloped surface Alternative Strategy: Use it to jump to the ledge",,,Opal,,,Light of Blessing,Shrine of Light,,,,Gadohsi Lightroot,,
Jiosin Shrine,https://www.zeldadungeon.net/wiki/Jiosin_Shrine,"-0240, -0374, 0026",https://www.youtube.com/watch?v=ZztJtsUFkxg,"Jiosin Shrine, also known as Shape Rotation, is a Shrine of Light from Tears of the Kingdom. This shrine is found just south of Lookout Landing in Hyrule Field, right next to the Hyrule Field Chasm. Shape Rotation Video Walkthrough Gallery Grab the object with Ultrahand and position to fit through the hole Then use the object as a ramp to get across Grab the double box shape and push it through the hole Arrange the double block accordingly and then climb up to the chest to get a Hasty Elixir Rotate the block to fit through the awkward hole. There is some wiggle room here and it doesn't need to be perfect Position the blocks so you can climb up like stairs",Hyrule Field,,Hasty Elixir,,,Light of Blessing,Shrine of Light,,,,Nisoij Lightroot,,
Kamizun Shrine,https://www.zeldadungeon.net/wiki/Kamizun_Shrine,"-1076, -1557, 0023",https://www.youtube.com/watch?v=Vty6gMLv0NI,"Kamizun Shrine, also known as Proving Grounds: Beginner, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just north of the Outpost Ruins and west of the Proxim Bridge. As it is a Proving Grounds shrine, all of Link's items are removed once he enters the shrine. Proving Grounds: Beginner Video Walkthrough Gallery Fuse a Long Stick with a Spiked Iron Ball to create a Spiked-Iron-Ball Sledge Smash the boulder that the Soldier Construct is standing on",,,Spring Shield,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Nuzimak Lightroot,,
Kikakin Shrine,https://www.zeldadungeon.net/wiki/Kikakin_Shrine,"-0395, 2736, 0287",https://www.youtube.com/watch?v=AJoVO9hhZOI,"Kikakin Shrine, also known as Shining in Darkness, is a Shrine of Light from Tears of the Kingdom. The Shrine is located west of the Great Hyrule Forest. Shining in Darkness  Video Walkthrough Gallery Outside the Shrine First Hidden Chest Laser room, location of 2nd chest Double spiked wall, Use ascend to reach the room in the roof Last chest, location of small key Locked door",Great Hyrule Forest,,Amber Small Key Zonaite Bow,,,Light of Blessing,Shrine of Light,,,,Nikakik Lightroot,,
Kiuyoyou Shrine,https://www.zeldadungeon.net/wiki/Kiuyoyou_Shrine,"-1106, 2086, 0104",https://www.youtube.com/watch?v=SSK39uHwkXA,"Kiuyoyou Shrine, also known as Fire and Ice, is a Shrine of Light from Tears of the Kingdom. The Shrine is located southeast of Snowfield Stable, across the chasm. Fire and Ice Video Walkthrough Gallery Melt the ice block just a little bit Place the smaller ice block on the switch Paraglide to the top of the room Use the stone platform to block the fire Attach the stone platform to the ice and roll it down the spiked ramp Place the ice block on the higher ledge and Ascend through it to get a Zonaite Spear Block the flames and place the block on the switch to open the gate",,,Zonaite Spear,,,Light of Blessing,Shrine of Light,,,,Uoyoyuik Lightroot,,
Kyokugon Shrine,https://www.zeldadungeon.net/wiki/Kyokugon_Shrine,"-0706, -1551, 0006",https://www.youtube.com/watch?v=6os0sM77_4U,"Kyokugon Shrine, also known as Alignment of the Circles, is a Shrine of Light from Tears of the Kingdom. The Shrine is accessible from Great Plateau Foothill Cave beneath the Great Plateau surface. Entrance of the cave is towards the North of Great Plateau at -0832 -1488 0027. Once inside the cave there is a large number of crushable stone walls to go through to reach the shrine, bring lots of weapons or Bomb Flower. Alignment of the Circles To complete the Shrine simply place the orbs in the receptacle below each green circle on the ceiling. To get the chest in the second room use Ultrahand on the floor on the left side, removing the false tile. Then move the orb on the right into position. The chest contains a Hearty Elixir. Video Walkthrough Gallery",,,Hearty Elixir,,,Light of Blessing,Shrine of Light,,,,Nogukoyk Lightroot,,
Kyononis Shrine,https://www.zeldadungeon.net/wiki/Kyononis_Shrine,"-0205, 0451, 0021",https://www.youtube.com/watch?v=3RtV9t4iMyQ,"Kyononis Shrine, also known as Combat Training, is a Shrine of Light from Tears of the Kingdom. This shrine is found at the Hyrule Castle Town Ruins, just north of Lookout Landing. This is a tutorial shrine to help Link with his basic combat. Combat Training Video Walkthrough Gallery Exterior as Link approaches it Dodge the vertical sword slash by performing a Side Hop Dodge the horizontal sword slash by performing a back flip Use your shield to parry the attack and stun the enemy Perform a charged attack to attack the enemy",Hyrule Castle Town Ruins,,Zonaite Sword,,,Light of Blessing,Shrine of Light,,,Combat Training: Archery Combat Training: Shields Combat Training: Sneakstrike Combat Training: Throwing,Sinonoyk Lightroot,,
Makurukis Shrine,https://www.zeldadungeon.net/wiki/Makurukis_Shrine,"-2847, 0629, 0233",https://www.youtube.com/watch?v=X6rnquvh9Ug,"Makurukis Shrine, also known as Combat Training: Archery, is a Shrine of Light from Tears of the Kingdom. This shrine is found on the higher cliff at the Tabantha Bridge Stable. Combat Training: Archery Video Walkthrough Gallery Use the Bow to shoot the Soldier Construct Defeat three more Soldier Constructs",,,Strong Construct Bow,,,Light of Blessing,Shrine of Light,,,Combat Training Combat Training: Archery Combat Training: Shields Combat Training: Sneakstrike Combat Training: Throwing,Sikurukam Lightroot,,
Mayachin Shrine,https://www.zeldadungeon.net/wiki/Mayachin_Shrine,"-0705, -0866, 0031",https://www.youtube.com/watch?v=UnOzqcFffKI,"Mayachin Shrine, also known as A Fixed Device, is a Shrine of Light from Tears of the Kingdom. The shrine is located within the Exchange Ruins, just north of the Hyrule Field Skyview Tower. Contents A Fixed Device Video Walkthrough Gallery The outside of the Shrine Jump on the moving platform and ride it over to the next area Attach a stake with a cylinder stick Push the stake into the device Release it so it fits properly Attach a second stick to make it even longer Move the stake that is in front of the device Move the stake that is behind the platform on the right side Step on the floor switch and then hit the crystal switch to swing the fix device Time the swing so the bat hits the Orb and launches it at the target on the left Hit the orb really late to hit it to the right side It will take a few tries, but hit the target on the right. Open the chest to get an Energizing Elixir.",Exchange Ruins,,Energizing Elixir,,,Light of Blessing,Shrine of Light,,,,Nihcayam Lightroot,,
Mayak Shrine,https://www.zeldadungeon.net/wiki/Mayak_Shrine,"1270, 3733, 0106",https://www.youtube.com/watch?v=ofjq8O8HLm0,"Mayak Shrine, also known as Timely Catches, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Eldin Mountains. Timely Catches Video Walkthrough Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Kayam Lightroot,,
Minetak Shrine,https://www.zeldadungeon.net/wiki/Minetak_Shrine,"0393, 3486, 0068",https://www.youtube.com/watch?v=BKWtpwXW-Ng,"Minetak Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located north of Thyphlo Ruins Skyview Tower, to get to the Shrine, you need to enter Deplian Badlands Cave that is North-West of the Shrine location.",Deplian Badlands Cave,,Big Battery,,,Light of Blessing,Shrine of Light,,,,Katenim Lightroot,,
Musanokir Shrine,https://www.zeldadungeon.net/wiki/Musanokir_Shrine,"0406, 2133, 0144",https://www.youtube.com/watch?v=0qirfge4vmA,"Musanokir Shrine, also known as Swing to Hit, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Korok Forest. Contents Swing to Hit Video Walkthrough Gallery Link outside the Shrine",Great Hyrule Forest,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Rikonasum Lightroot,,
Ninjis Shrine,https://www.zeldadungeon.net/wiki/Ninjis_Shrine,"0355, 1892, 0178",https://www.youtube.com/watch?v=sYOVkxtoDY0,"Ninjis Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Great Hyrule Forest. Go to Bravery Island right above the forest. From there go to the small island on the south east of Bravery Island. There will be a tree stump with a leaf on it. Dive off from the tree stump and land at the shrine below (you'll be able to see it as you descend.) Be sure to use your paraglider to soften your landing. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Construct Bow,,,Light of Blessing,Shrine of Light,,,,Sijnin Lightroot,,
Pupunke Shrine,https://www.zeldadungeon.net/wiki/Pupunke_Shrine,"0620, 2211, 0164",https://www.youtube.com/watch?v=eA1x31uM3zM,"Pupunke Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Great Hyrule Forest. Shrine Quest: A Pretty Stone and Five Golden Apples Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Mighty Zonaite Sword,,,Light of Blessing,Shrine of Light,,,,Eknupup Lightroot,,
Ren-iz Shrine,https://www.zeldadungeon.net/wiki/Ren-iz_Shrine,"0754, 0823, 0082",https://www.youtube.com/watch?v=rqhc58g4a4c,"Ren-iz Shrine, titled Jump the Gaps, is a Shrine of Light from Tears of the Kingdom. This shrine is found a bit east of Hyrule Castle within the Crenel Hills. Jump The Gaps Video Walkthrough Gallery Arriving at the shrine Use Ultrahand to place the platform so it works like a ramp Be sure the front of it is all the up against the edge The ball will jump the gap and into the hole Use Ultrahand to attach the two platforms Place the long platform across the gap and head across to find a chest containing a Strong Zonaite Shield Attach the small platform at the edge of the larger platform so it is perpendicular Place the platform to create a ramp Again, be sure it is right up against the edge",Hyrule Field,,Strong Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,Zi-ner Lightroot,,
Riogok Shrine,https://www.zeldadungeon.net/wiki/Riogok_Shrine,"-1443, -1616, 0089",https://www.youtube.com/watch?v=KWxC4dCkTHE,"Riogok Shrine, also known as Force Transfer, is a Shrine of Light from Tears of the Kingdom. The Shrine is located on the Great Plateau west of Hopper Pond. Contents Force Transfer Video Walkthrough Gallery Gallery The outside of Riogok Shrine",,,Mighty Construct Bow,,,Light of Blessing,Shrine of Light,,,,Kogoir Lightroot,,
Runakit Shrine,https://www.zeldadungeon.net/wiki/Runakit_Shrine,"-2534, 1167, 0177",https://www.youtube.com/watch?v=tIuCRzFVXWU,"Runakit Shrine, also known as Built to Carry, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just northwest of the Thundra Plateau and west of the Lindor's Brow Skyview Tower. Built To Carry Video Walkthrough Gallery Outside the Shrine Glide over to the tall ladders with the Paraglider Place the Orb on the rail and it will roll down Attach sticks on both sides of the Orb The sticks will settle right on the rail, keeping the orb in place Lots of combinations to build here Climb the ladder to get a Construct Bow Create a box like structure It doesn't have to be pretty Place the orb in the hole to open the door",,,Construct Bow,,,Light of Blessing,Shrine of Light,,,,Tikanur Lightroot,,
Sepapa Shrine,https://www.zeldadungeon.net/wiki/Sepapa_Shrine,"0219, 1082, 0028",https://www.youtube.com/watch?v=Gj2Wu5tJrmQ,"Sepapa Shrine, also known as Backtrack, is a Shrine of Light from Tears of the Kingdom. This shrine is found just east of Hyrule Castle in the Hyrule Forest Park. Backtrack Video Walkthrough Gallery Use Recall on the platform and ride it up Jump onto the wooden raft Light the Torch on fire Burn down the vines to get a Strong Construct Bow Use recall on the wooden raft Light the torch again Light the two candles to open the door Drop the orb in the top hole first Then drop it in the bottom hole Run through the gate and use Recall on the orb The orb will land in the hole, opening the gate",Hyrule Castle Town Ruins,,Strong Construct Bow,,,Light of Blessing,Shrine of Light,,,,Apapes Lightroot,,
Serutabomac Shrine,https://www.zeldadungeon.net/wiki/Serutabomac_Shrine,"-0180, 1170, 0280",https://www.youtube.com/watch?v=D3VF9OxrZ5M,"Serutabomac Shrine, also known as The Way Up, is a Shrine of Light from Tears of the Kingdom. The Shrine is located on the northeast side of Hyrule Castle island. The Way Up Video Walkthrough Gallery At the entrance of Serutabomac Shrine Grab the small platform with Ultrahand Place it on the rails up above Use Ascend to get through the platform Connect the small platform to the large platform with Ultrahand Place it against the rail and use Ascend to get up Connect the three platforms to make a capitalized 'I' Place the shape on the spikes Use Ascend to reach the chest that contains a Magic Rod Create another variation of an 'I' with the big platform on the base Place it on the rails and use Ascend twice to reach the top of the shrine",,,Magic Rod,,,Light of Blessing,Shrine of Light,,,,Camobatures Lightroot,,
Sikukuu Shrine,https://www.zeldadungeon.net/wiki/Sikukuu_Shrine,"0700, 2793, 0226",https://www.youtube.com/watch?v=50jWtfuexx4,"Sikukuu Shrine, also known as Spinning Gears, is a Shrine of Light from Tears of the Kingdom. The Shrine is located southeast of Thyphlo Ruins Skyview Tower. Spinning Gears Video Walkthrough Gallery",,,Zonaite Longsword,,,Light of Blessing,Shrine of Light,,,,Uukukis Lightroot,,
Sinakawak Shrine,https://www.zeldadungeon.net/wiki/Sinakawak_Shrine,"-1413, 0757, 0089",https://www.youtube.com/watch?v=ObU0wMy-wac,"Sinakawak Shrine, also known as An Uplifting Device, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just northwest of New Serenne Stable. An Uplifting Device Video Walkthrough Gallery Outside the Sinakawak Shrine Attach the flame to the center of the wooden platform Attach a Balloon to the flame and ride it up to the next level Place a torch near the door and attach a Balloon The Balloon will float up and hit the switch Attach the Orb to a platform, flame, and Balloon to reach the top of the Shrine Use Ultrahand to toss the Orb to the higher ledge and then drop it in the hole Drop down and attach the Flame Emitter to the large Orb and bring it towards the wall Grab a Balloon and attach it to the Flame Emitter The Flame Emitter has enough power to carry the large Orb Use Ascend to get back to the top of the shrine Detach the large Orb and place it in the hole to open the gate. Open the chest to get an Opal",,,Opal,,,Light of Blessing,Shrine of Light,,,,Kawakanis Lightroot,,
Sonapan Shrine,https://www.zeldadungeon.net/wiki/Sonapan_Shrine,"-1921, -0356, 0228",https://www.youtube.com/watch?v=7Q0QlA4KLMo,"Sonapan Shrine, also known as Missing Pathways, is a Shrine of Light from Tears of the Kingdom. The Shrine is located east of Satori Mountain. Missing Pathways Video Walkthrough Gallery Run forward and use Ascend to get to the higher ledge Grab the block on the right with Ultrahand and place it on top of the platform On the left side, move the block so that is in front of the Treasure Chest Use Ascend to get to the top of the box Paraglide over to the chest to get five Arrows Grab the block with Ultrahand and place it in the water against the back wall Use ascend where the block was to get up to the higher ledge Paraglide over and land on top of the block Look up and use ascend to reach the top of the shrine",,,5 Arrows,,,Light of Blessing,Shrine of Light,,,,Napanos Lightroot,,
Susuyai Shrine,https://www.zeldadungeon.net/wiki/Susuyai_Shrine,"-0785, -0433, 0018",https://www.youtube.com/watch?v=H1XlTPOTvh4,"Susuyai Shrine, also known as A Spinning Device, is a Shrine of Light from Tears of the Kingdom. A Spinning Device Video Walkthrough Gallery",,,Arrows,,,Light of Blessing,Shrine of Light,,,,Iayusus Lightroot,,
Tadarok Shrine,https://www.zeldadungeon.net/wiki/Tadarok_Shrine,"-1079, -2185, 0129",https://www.youtube.com/watch?v=g8xHoJAAhKc,"Tadarok Shrine, also known as Fire and Water, is a Shrine of Light from Tears of the Kingdom. The Shrine is located on the southeast side of the Great Plateau, inside River of the Dead Waterfall Cave. Contents Fire and Water Video Walkthrough Gallery",River of the Dead Waterfall Cave,,Mighty Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,Koradat Lightroot,,
Tajikats Shrine,https://www.zeldadungeon.net/wiki/Tajikats_Shrine,"0344, -1007, 0016",https://www.youtube.com/watch?v=gG-CbZYQcFg,"Tajikats Shrine, also known as Building with Logs, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just north of the Riverside Stable. Building With Logs Then head to the altar to get the Light of Blessing. Video Walkthrough Gallery",Hyrule Field,,Spiky Shield,,,Light of Blessing,Shrine of Light,,,,Stakijat Lightroot,,
Taki-ihaban Shrine,https://www.zeldadungeon.net/wiki/Taki-ihaban_Shrine,"-1828, 1196, 0147",https://www.youtube.com/watch?v=5Hazlxf4aKM,"Taki-ihaban Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just southeast of Lindor's Brow Skyview Tower. Rauru's Blessing Gallery Entrance to the Shrine Chest containing a Large Zonai Charge",Lindor's Brow Cave,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Nabahi-ikat Lightroot,,
Teniten Shrine,https://www.zeldadungeon.net/wiki/Teniten_Shrine,"-0073, -1115, 0021",https://www.youtube.com/watch?v=ziHf40_27tc,"Teniten Shrine, also known as Combat Training: Throwing, is a Shrine of Light from Tears of the Kingdom. This Shrine is located just west of Riverside Stable. Combat Training: Throwing Video Walkthrough Gallery Pickup a Rusty Halberd Toss it at the Soldier Construct",Hyrule Field,,Zonaite Spear,,,Light of Blessing,Shrine of Light,,,Combat Training Combat Training: Archery Combat Training: Shields Combat Training: Sneakstrike Combat Training: Throwing,Netinet Lightroot,,
Tenmaten Shrine,https://www.zeldadungeon.net/wiki/Tenmaten_Shrine,"-0593, 1551, -0014",https://www.youtube.com/watch?v=OIZSr0Zby7Y,"Tenmaten Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. Tears of the Kingdom The Shrine is located northwest of Hyrule Castle, found in a cave system from the Elma Knolls Well. The cave itself is rather dark and Link will need to use or activate the existing Brightbloom Seeds in the cave to see. Rauru's Blessing The shrine has no objective or enemies. Run ahead and grab the Large Zonai Charge from the chest, then move forward and examine the end to complete. Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Netamnet Lightroot,,
Tsutsu-um Shrine,https://www.zeldadungeon.net/wiki/Tsutsu-um_Shrine,"-1422, -1350, 0068",https://www.youtube.com/watch?v=gBi8sFSat1E,"Tsutsu-um Shrine, also known as The Stakes Guide You, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just south of the Outskirt Stable. The Stakes Guide You Video Walkthrough Gallery Use Ultrahand to grab the platform that has a Stake in it Drive it into the pillar when it is at its lowest point and then jump on it Grab that same platform and place it on the other side of the pillar Jump on the platform and ride it up Paraglide over to the chest to get five Arrows Jump over to the platform and grab a stake with Ultrahand Place it to the left of the platform so the rotating platform stops moving Grab the stake above and place it so it blocks the Orb from falling Place the last stake in the middle of the outside circle of the gear The stake will push the orb, dropping it in the hole and opening the gate",,,Arrows,,,Light of Blessing,Shrine of Light,,,,Mu-ustust Lightroot,,
